Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Algeria,DZA,..,..,..,..,0.478650003671646,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Angola,AGO,..,..,..,0.0322900004684925,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Argentina,ARG,..,0.438840001821518,0.622619986534119,0.558149993419647,0.556309998035431,0.488299995660782,0.478130012750626,0.541260004043579,0.522159993648529,0.549470007419586,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Armenia,ARM,..,0.1910600066185,0.250019997358322,0.233050003647804,0.227880001068115,0.188759997487068,0.178540006279945,0.209199994802475,0.205569997429848,0.209549993276596,0.181150004267693,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Australia,AUS,..,1.57197999954224,1.91902005672455,..,1.87918996810913,..,1.82570004463196,..,1.8550900220871,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Austria,AUT,..,1.88601994514465,3.04969000816345,3.11654996871948,3.05656003952026,3.09182000160217,3.13264989852905,3.20278000831604,3.26360988616943,3.20047998428345,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Azerbaijan,AZE,..,0.335999995470047,0.222320005297661,0.206369996070862,0.184679999947548,0.184159994125366,0.200130000710487,0.223900005221367,0.208360001444817,0.151299998164177,0.181779995560646,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Belarus,BLR,..,0.722100019454956,0.499989986419678,0.500630021095276,0.584110021591187,0.604430019855499,0.577329993247986,0.539009988307953,0.459809988737106,0.47477000951767,0.578429996967316,..
